sent0,sent1,labels
He pierced the board with glass rod,He pierced the board with a sword,1
Leaves grow on the tigers,Leaves grow on the branches,1
He put stars into the pot,He put dumplings into the pot,1
Monkey climbs the tree,Monkey climbs the cloud,0
I put a phone in my pocket.,I put a lion in my pocket.,0
Dad is surfing on the desert,Dad is surfing on the sea,1
He lit the cigarette with water,He lit the cigarette with fire,1
The seagull caught a whale,The seagull caught a fish,1
He picked bamboo from the tree,He picked an apple from the tree,1
He is lying on the lake,He is lying on the land,1
Water spray gun can barbecue,Fire torch can barbecue,1
Mosquito coil can kill mosquitoes,Mosquito coil can kill spiders,0
Pete is listening to music with headphones,Pete is watching movie with headphones,0
Kevin is shaving with a razor,Kevin is getting a haircut with a razor,0
This cat is eating fish,This cat is hatching eggs,0
He hit the gun target with a tank,He hit the gun target with a pistol,1
Flytrap can catch flies,Flytrap can catch tigers,0
You can plant lotus on the ground,You can plant watermelon on the ground.,1
You can get barbecue in the book.,You can get knowledge in the book,1
Mary stayed at home for ten days.,Mary stayed in the sea for ten days.,0
Mother is using a gas stove to porridge,Mother is using the refrigerator to porridge,0
I am washing my hands with oil.,I am washing my hands with soap.,1
Uncle saw an elephant on the street,Uncle saw a dinosaur on the street,0
She woke up at twenty five o'clock today.,She woke up at eight o'clock today.,1
He was scratched by the blade,He was scratched by the water,0
Lumberjack cuts trees with an axe,Lumberjack cuts trees with tofu,0
Squirrel coarse storage of pine nuts for winter,Squirrel coarse storage of honey for winter,0
Eagle catches lions as food,Eagle catches snake as food,1
Someone can pick up darts by hand,Someone can pick up bullets by hand,0
Dad is riding at sea,Dad is sailing at sea,1
He has some stones for breakfast every day.,He has some bread for breakfast every day.,1
I often drink some peanut oil in the afternoon.,I often drink some tea in the afternoon.,1
She often rides a bird to school.,She often rides a bike to school.,1
Tom uses a microwave oven to call me.,Tom uses a telephone to call me.,1
Mary has dinosaurs to play with.,Mary has dogs to play with.,1
Linda does her homework by hand.,Linda does her homework by nose.,0
Water is for drinking.,Mud is for drinking.,0
Peanuts can be used to extract oil.,Apples can be used to extract oil.,0
Refrigerators can freeze.,Air conditioners can freeze.,0
We can cook in the toilet.,We can cook in the kitchen.,1
Spoons are used for soup.,Chopsticks are used for soup.,0
Paper can be used as a mirror.,Glass can be used as a mirror.,1
Baby combs his hair with a comb.,Baby combs his hair with a mirror.,0
Flour supplements calcium in human body.,Milk powder supplements calcium in human body.,1
Cream can be used to protect against ultraviolet rays.,Sunscreen can be used to protect against ultraviolet rays.,1
A sphere has six faces.,A cube has six faces.,1
Cut down trees with an axe.,Cut down trees with a hammer.,0
The remote control charges the cell phone.,The charger charges the cell phone.,1
Facial mask moisturizes the face.,Eye mask moisturizes the face.,0
The umbrella sheltered us from the rain.,The umbrella sheltered us from the haze.,0
Masks can block the haze.,Masks can block the air.,0
Nose can be used to see things.,Eyes can be used to see things.,1
Cut paper with glue.,Cut paper with scissors.,1
Cameras can be used to take pictures.,Mirrors can be used to take pictures.,0
Masks can help us see things.,Glasses can help us see things.,1
Hand cream protects our hands.,Body Lotion protects our hands.,0
Screens can keep out the wind.,Windows can keep out the wind.,1
I put my clothes in the wardrobe.,I put my clothes in the cupboard.,0
The dog barks to show its kindness to its owner.,The dog wags its tail to show its kindness to its owner.,1
He who does not eat dies.,He who does not play dies.,0
Mobile phones will explode without charging.,Mobile phones will shut down without charging.,1
Southerners like to eat rice.,Southerners like to eat noodles.,0
We can use tablets to learn.,We can use mirrors to learn.,0
Ducks can fly.,Birds can fly.,1
Rabbits love to eat carrots.,Tigers love to eat carrots.,0
Ice cream melts when heated.,Stones melt when heated.,0
People yawn when they are tired.,People sneeze when they are tired.,0
Automatic pencil can replace lead core.,Ordinary pencils can be replaced with lead cores.,0
The sun rises in the morning.,The sun sets in the morning.,0
Astronauts wear spacesuits in space.,Astronauts wear ordinary clothes in space.,0
The moon revolves around the sun.,The earth revolves around the sun.,1
Dragonflies are attracting the opposite sex.,Dragonflies are laying eggs.,1
Basketball is played by hand.,Football is played by hand.,0
We use the mouse to enter text.,We use the keyboard to enter text.,1
It is said that Santa Claus will give gifts on Lantern Festival.,It is said that Santa Claus gives gifts on Christmas Day.,1
Lotus blossoms in summer.,Plum blossoms blossom in summer.,0
Lotus is the flower that lives on land.,Lotus is the flower that lives in water.,1
Plants can absorb carbon dioxide.,People can absorb carbon dioxide.,0
Panda is China's national treasure.,Koala is China's national treasure.,0
We need to take an umbrella when it rains.,We need to take our bag on rainy days.,0
Rainbows come in seven colors.,Clouds come in seven colors.,0
Fireflies glow in the dark.,Cicadas glow in the dark.,0
Snails change their shells many times in their lives.,Hermit crabs change their shells many times in their lifetime.,1
Flowers turn yellow in autumn.,Leaves turn yellow in autumn.,1
Hippos live in the deserts.,Camels live in deserts.,1
Tadpoles grow into butterflies.,Caterpillars grow into butterflies.,1
We wash dishes with detergent.,We wash dishes.with laundry detergent.,0
Silver can be used as a thermometer.,Mercury can be used as a thermometer.,1
Water-splashing Festival is a Tibetan festival.,Water-splashing Festival is a Dai festival.,1
The Potala Palace is a famous building in Tibet.,The Potala Palace is a famous building in Xinjiang.,0
Einstein invented the light bulb.,Edison invented the light bulb.,1
Bears hibernate in winter.,Wild geese hibernate in winter.,0
Mosquitoes bite and suck blood.,Flies bite and suck blood.,0
Tulip is the national flower of Holland.,Cherry blossom is the national flower of the Netherlands.,0
Pens can be filled with ink.,Pencils can be filled with ink.,0
